caseid,startindex,endindex,avgspeedmph,maxspeedmph,sddistancelocationsfeet,dwelltimeseconds,travmode
8,379,438,2.0783333282,3.299999952,347.85404157963,237,1
78,1,441,5.53537414568934,20.39999962,49561.3575804664,-111824.785714286,1
387,98,797,6.82585713462286,20.89999962,5775.28993038603,-24152.0322580645,2
388,798,1372,8.6789565306487,21.39999962,4484.21855475884,14.2903225806452,2
389,1373,1501,5.72170543766667,16.5,623.087584504473,19.5833333333333,2
393,1502,2353,7.08075118138028,22.10000038,3098.14117514998,44.2702702702703,2
394,2354,3030,8.62555391757312,21.70000076,4532.17417362283,17.6896551724138,2
396,3031,3083,11.8132075363774,21.20000076,1992.69046736334,23,5
398,3084,3129,8.17608691836957,11.5,,24,2
401,3130,3314,11.1416216341459,24.20000076,,6.33333333333333,2
626,3315,3523,31.0014354310239,60.70000076,,9,3
677,3524,3573,22.39600002302,47.20000076,,2,3
792,3574,3721,41.8641892492703,59.5,7188.39899301024,11.75,7
849,3722,3984,42.6463877204259,68.40000153,6465.70817271391,27,7
858,3985,4204,8.1495454804,21.39999962,1158.91271448605,20.9473684210526,5
1083,4205,4308,36.607692367625,62.90000153,,1.75,3
1096,4309,4387,16.1278481122785,35.5,367.684634821321,8.2,5
1097,4388,4629,16.5185950146859,34.59999847,3082.03269927547,10.2222222222222,5
1946,4630,4636,1.70000001371429,2.200000048,,20,1
2478,4637,4741,49.6771428244,69.19999695,9910.17773094646,15.5,7
2658,4742,4888,3.58707483771429,8.800000191,4.01560769571306,40.6666666666667,2
2851,4889,4960,49.3847221820694,69.80000305,6953.4276123239,15,7
2854,4961,4997,34.8297294157568,70,4623.89512281961,25,7
2990,4998,6195,57.6489983965109,78.5,58113.1855710192,25.5333333333333,3
3003,6196,6805,50.9721311409918,69.69999695,63290.1108436787,25.4444444444444,3
3023,6806,6866,1.40655738416393,2.200000048,70.2575706114612,447,1
3287,6867,7018,43.1118420253092,68.69999695,2485.80263894145,3.5,7
3310,7019,7260,35.8648760711777,65.30000305,5077.5110504946,27,7
3312,7261,7363,37.0834950740971,59.29999924,4258.12456897041,12.25,7
3578,7364,7507,42.1374999636528,69.69999695,5428.26200170734,9.4,7
4100,7508,7512,1.7599999904,2.299999952,,12,1
4193,7513,7814,17.8125827569073,33.79999924,2131.40113976519,28.4545454545455,5
4199,7815,8879,28.4033802865972,64.69999695,7664.54468247899,16.0384615384615,5
4206,8880,9932,28.0725545967028,66.5,8863.37262894086,17.8235294117647,5
4259,9933,9988,19.9803572101786,44.70000076,735.770629126724,18.5,5
4273,9989,10041,21.1622641779057,38,,5.25,5
4296,10042,10371,33.1336363546818,62.29999924,12143.5452860126,21.7857142857143,5
4298,10372,10587,47.8203703988287,67.59999847,8995.93289633191,15,7
4305,10588,10741,51.2162337170909,70.90000153,9224.60873846853,1,7
4307,10742,10771,13.6300002017,55.20000076,28024.1503571525,27,7
4314,10772,10915,54.2222221669028,72.19999695,8172.19927700162,0,7
4529,10916,11651,7.89877717590217,21.39999962,4799.71010413193,11.9090909090909,2
4531,11652,11839,7.1659574585,15.5,442.325874922084,29.6666666666667,2
4546,11840,12402,6.97779752646714,19,1391.20892092088,43.9230769230769,2
4547,12403,12764,6.86546961481768,17.79999924,2731.85032474831,32.7058823529412,2
4806,12765,12861,46.8577320751443,69.19999695,4199.43018832181,37,7
4923,12862,12981,30.6108333756833,58,,3,3
5089,12982,13277,12.6939189389764,39.20000076,1243.12489922881,36.6666666666667,5
5094,13278,13284,1.74285716671429,2.900000095,2813.9471528003,651,7
5096,13285,13293,21.4333336342222,27.29999924,4728.69288554049,0,5
5331,13294,13428,16.7525926156741,37,3914.97140976242,2.33333333333333,5
5334,13429,13457,39.9448277375172,51.09999847,1614.00896558279,0,7
5637,13458,13464,2.14285714285714,2.5,,18,1
5806,13465,13781,21.39684542,41.29999924,4194.95090270146,16.4166666666667,5
5951,13782,13996,37.128372022,57.20000076,12696.5145190751,19.7142857142857,3
6714,13997,14022,1.88076922534615,4,,115,1
6830,14023,14260,33.3390755997731,53.09999847,18772.3315637587,7.375,3
6922,14261,14289,1.89655173658621,3.700000048,92.7336308091326,202,1
7153,14290,14314,1.716000023,2.900000095,,95,1
7680,14315,14445,1.60839695607634,3.200000048,68.5067834815829,911,1
7871,14446,14587,22.6084506361197,40.09999847,,3,3
7964,14588,14708,22.7504131791322,45.40000153,4164.52443852925,5.42857142857143,3
8110,14709,14719,2.01818183336364,3.400000095,32.215975209435,94,1
8974,14720,14823,13.0596153474327,29.89999962,1582.63675289183,14.875,5
9626,14824,14830,1.22857146628571,1.700000048,40.2714940635947,86,1
9791,14831,15027,28.3370558969391,43.90000153,2497.13447221209,8,3
10277,15028,15210,32.5759563431093,56.20000076,2830.59819116631,16.5,3
10384,15211,15253,2.28837210913954,3.5,39.5867562251181,164,1
10670,15254,15343,22.6744444225667,45.90000153,,2,3
11137,15344,15389,2.42608696226087,5.199999809,424.149888919883,89.5,1
11583,15390,15686,8.41683503277104,18.5,699.198841911785,15.3076923076923,2
11711,15687,15814,25.0570312516719,49.40000153,,5,3
11804,15815,16110,46.3692566107939,69.30000305,,0,3
12099,16111,16273,1.97914111837423,3.700000048,83.5726392574629,986,1
12197,16274,16408,29.8851851840296,48.29999924,7805.25763171963,23.6,3
12281,16409,16432,2.25000000995833,4.199999809,,108,1
12285,16433,16685,7.43833991381028,15.10000038,1188.50817062669,13.5,2
12409,16686,16702,2.170588234,3.5,,105,1
12522,16703,18703,10.6352823645862,21.39999962,71417.1470783144,6.42105263157895,2
12523,18704,19422,9.58636996830042,17.89999962,1749.41109446228,1.73684210526316,2
12526,19423,20195,10.2120310619069,17.10000038,,2.77777777777778,2
12528,20196,21294,9.34604185724659,18.5,5877.25456451436,2.81818181818182,2
13060,21295,21564,39.8881481460222,70.5,5155.04505653756,15.4,7
13078,21565,21941,16.821220159435,50.29999924,1507.99542346284,14.6666666666667,5
13083,21942,22301,28.0919444311556,46.09999847,12118.5444389552,12.25,5
13085,22302,22658,33.4249300078908,68.59999847,6381.76571030289,21.25,7
13102,22659,23019,28.0806093699391,46.5,11421.3418359104,12.75,5
13588,23020,23419,31.097500016085,50.59999847,8201.45339151883,19.5,3
14024,23420,23548,31.5775194147442,49.79999924,5395.06118006276,0.5,3
14092,23549,23566,2.2000000145,3.099999905,,70,1
