@relation 'ForWekaTest90-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.NumericToNominal-R1,6-weka.filters.unsupervised.attribute.NominalToString-C1'

@attribute caseid string
@attribute avgspeedmph numeric
@attribute maxspeedmph numeric
@attribute sddistancelocationsfeet numeric
@attribute dwelltimeseconds numeric
@attribute travmode {1,2,3,5,7}

@data
8,2.078333,3.3,347.854042,237,1
78,5.535374,20.4,49561.35758,-111824.785714,1
387,6.825857,20.9,5775.28993,-24152.032258,2
388,8.678957,21.4,4484.218555,14.290323,2
389,5.721705,16.5,623.087585,19.583333,2
393,7.080751,22.1,3098.141175,44.27027,2
394,8.625554,21.700001,4532.174174,17.689655,2
396,11.813208,21.200001,1992.690467,23,5
398,8.176087,11.5,?,24,2
401,11.141622,24.200001,?,6.333333,2
626,31.001435,60.700001,?,9,3
677,22.396,47.200001,?,2,3
792,41.864189,59.5,7188.398993,11.75,7
849,42.646388,68.400002,6465.708173,27,7
858,8.149545,21.4,1158.912714,20.947368,5
1083,36.607692,62.900002,?,1.75,3
1096,16.127848,35.5,367.684635,8.2,5
1097,16.518595,34.599998,3082.032699,10.222222,5
1946,1.7,2.2,?,20,1
2478,49.677143,69.199997,9910.177731,15.5,7
2658,3.587075,8.8,4.015608,40.666667,2
2851,49.384722,69.800003,6953.427612,15,7
2854,34.829729,70,4623.895123,25,7
2990,57.648998,78.5,58113.185571,25.533333,3
3003,50.972131,69.699997,63290.110844,25.444444,3
3023,1.406557,2.2,70.257571,447,1
3287,43.111842,68.699997,2485.802639,3.5,7
3310,35.864876,65.300003,5077.51105,27,7
3312,37.083495,59.299999,4258.124569,12.25,7
3578,42.1375,69.699997,5428.262002,9.4,7
4100,1.76,2.3,?,12,1
4193,17.812583,33.799999,2131.40114,28.454545,5
4199,28.40338,64.699997,7664.544682,16.038462,5
4206,28.072555,66.5,8863.372629,17.823529,5
4259,19.980357,44.700001,735.770629,18.5,5
4273,21.162264,38,?,5.25,5
4296,33.133636,62.299999,12143.545286,21.785714,5
4298,47.82037,67.599998,8995.932896,15,7
4305,51.216234,70.900002,9224.608738,1,7
4307,13.63,55.200001,28024.150357,27,7
4314,54.222222,72.199997,8172.199277,0,7
4529,7.898777,21.4,4799.710104,11.909091,2
4531,7.165957,15.5,442.325875,29.666667,2
4546,6.977798,19,1391.208921,43.923077,2
4547,6.86547,17.799999,2731.850325,32.705882,2
4806,46.857732,69.199997,4199.430188,37,7
4923,30.610833,58,?,3,3
5089,12.693919,39.200001,1243.124899,36.666667,5
5094,1.742857,2.9,2813.947153,651,7
5096,21.433334,27.299999,4728.692886,0,5
5331,16.752593,37,3914.97141,2.333333,5
5334,39.944828,51.099998,1614.008966,0,7
5637,2.142857,2.5,?,18,1
5806,21.396845,41.299999,4194.950903,16.416667,5
5951,37.128372,57.200001,12696.514519,19.714286,3
6714,1.880769,4,?,115,1
6830,33.339076,53.099998,18772.331564,7.375,3
6922,1.896552,3.7,92.733631,202,1
7153,1.716,2.9,?,95,1
7680,1.608397,3.2,68.506783,911,1
7871,22.608451,40.099998,?,3,3
7964,22.750413,45.400002,4164.524439,5.428571,3
8110,2.018182,3.4,32.215975,94,1
8974,13.059615,29.9,1582.636753,14.875,5
9626,1.228571,1.7,40.271494,86,1
9791,28.337056,43.900002,2497.134472,8,3
10277,32.575956,56.200001,2830.598191,16.5,3
10384,2.288372,3.5,39.586756,164,1
10670,22.674444,45.900002,?,2,3
11137,2.426087,5.2,424.149889,89.5,1
11583,8.416835,18.5,699.198842,15.307692,2
11711,25.057031,49.400002,?,5,3
11804,46.369257,69.300003,?,0,3
12099,1.979141,3.7,83.572639,986,1
12197,29.885185,48.299999,7805.257632,23.6,3
12281,2.25,4.2,?,108,1
12285,7.43834,15.1,1188.508171,13.5,2
12409,2.170588,3.5,?,105,1
12522,10.635282,21.4,71417.147078,6.421053,2
12523,9.58637,17.9,1749.411094,1.736842,2
12526,10.212031,17.1,?,2.777778,2
12528,9.346042,18.5,5877.254565,2.818182,2
13060,39.888148,70.5,5155.045057,15.4,7
13078,16.82122,50.299999,1507.995423,14.666667,5
13083,28.091944,46.099998,12118.544439,12.25,5
13085,33.42493,68.599998,6381.76571,21.25,7
13102,28.080609,46.5,11421.341836,12.75,5
13588,31.0975,50.599998,8201.453392,19.5,3
14024,31.577519,49.799999,5395.06118,0.5,3
14092,2.2,3.1,?,70,1
