caseid,startindex,endindex,avgspeedmph,maxspeedmph,sddistancelocationsfeet,dwelltimeseconds,travmode
1327,1,829,35.6960192752859,76.5,19969.2723020028,15.0434782608696,3
1424,830,856,5.46666664566667,12.39999962,227.709824985354,19,3
1665,857,1841,58.5342132075391,81,110869.888255829,11.5833333333333,3
1716,1842,1907,28.3227274562727,58.5,2504.05618184821,11.75,5
1724,1908,2158,43.6374501304582,70,7632.74641077322,27,7
1726,2159,2238,9.2062500356,28.70000076,382.760528491072,47.7142857142857,5
1727,2239,2270,35.1031247669375,50.90000153,,3,7
1798,2271,2273,1.83333337333333,2.700000048,,17,1
1809,2274,2317,11.5340909496818,30.60000038,1007.56014775631,9.6,3
2136,2318,2940,7.87688603757143,14.69999981,13.0710468774527,6.62962962962963,2
2138,2941,3579,7.32097026910955,15.19999981,111.227007348697,14.9,2
2186,3580,3589,2.8000000476,3.900000095,,29,1
2307,3590,3602,1.36153847446154,1.799999952,,54,1
2461,3603,3789,25.6096256323369,45.20000076,3266.99036143012,14.5,3
2490,3790,3898,41.9724770776422,59.90000153,5437.55276541215,8,7
2499,3899,3978,45.9337499498875,58.79999924,8257.04087916993,6,7
2635,3979,4050,38.9111109824306,71.19999695,4355.19474826721,13.3333333333333,7
2644,4051,4143,12.2516129107312,39.70000076,552.816340838511,24.5,5
2648,4144,4233,17.7433333911556,43.40000153,2602.91302384715,8.71428571428571,5
2706,4234,4291,7.94310349006897,20.70000076,,9.57142857142857,3
2785,4292,4321,2.2600000104,3.200000048,,107,1
2862,4322,4401,50.353750020825,70.30000305,4471.37045124408,2,7
2867,4402,4481,50.3187499701875,68.69999695,7204.05175651778,5,7
2905,4482,4514,1.94242424675758,3.5,,126,1
3020,4515,4536,1.43181819813636,2.400000095,108.670222075279,217,1
3192,4537,4683,22.7278911508367,51.20000076,4892.46021002903,8.66666666666667,3
3294,4684,4729,2.78260870863043,4,,163,1
3295,4730,4781,24.7115384821154,60.29999924,3161.22859218967,50,7
3311,4782,4786,18.1799998766,38.29999924,2704.83717127756,3,7
3344,4787,5037,29.9908366316096,60.70000076,7691.67866414321,23.9166666666667,3
3544,5038,5378,43.101173009739,68.80000305,6632.82802218847,57.6666666666667,7
3548,5379,5931,23.3103073977866,56.5,9633.50173930724,16.2424242424242,5
3584,5932,5964,31.3090909363333,57.5,13635.9068804386,10.6666666666667,7
3585,5965,6110,18.4657533870342,33.70000076,2321.62783586586,17,3
3640,6111,6265,24.120000026329,53.09999847,,6,3
4191,6266,6462,21.2015228607208,43.20000076,4409.80689889178,19.4,5
4196,6463,6733,18.3690036508635,34.29999924,4337.62518914916,25.8888888888889,5
4198,6734,6783,33.23000021912,61.40000153,16531.1821525736,27,7
4200,6784,7627,18.3931279576742,46.20000076,5161.75275730719,29.8780487804878,5
4205,7628,7864,22.6105485170211,55.79999924,5867.4643186708,20.625,5
4207,7865,7921,33.1596489391754,68.80000305,33332.0597653976,15,7
4209,7922,8112,15.1884816982984,41.59999847,3516.12546565962,12.9375,5
4215,8113,8757,25.4007751546899,64.30000305,7645.30184014885,20.8571428571429,5
4261,8758,8840,37.5506025183614,58.29999924,5239.97623839879,67.3333333333333,7
4270,8841,8919,39.6620254838481,58.20000076,6600.24977516337,33,7
4301,8920,9006,2.39425287849425,3.5,,258,1
4303,9007,9334,32.8756097541372,63.59999847,14829.8895209086,27.3636363636364,5
4309,9335,9666,28.845481843003,60.79999924,6495.58521756288,39.7333333333333,5
4312,9667,9989,33.573064972161,69.19999695,14087.7795306923,11.3846153846154,5
4381,9990,10408,19.8556086488019,48.29999924,2962.42379751141,26.9545454545455,3
4528,10409,10489,5.80864200769136,14.39999962,,26.7142857142857,2
4530,10490,10944,7.98505496013407,16.39999962,3301.49324295437,11.1111111111111,2
4536,10945,12346,8.98266761029244,23.70000076,7491.04184988518,23.08,2
4537,12347,12988,9.6688473514891,22.89999962,6451.21802130796,16.1764705882353,2
4538,12989,13902,7.49967176717177,25.89999962,6430.33386586545,17.84,2
4539,13903,13961,5.87288133376271,13.19999981,855.052890466362,15.4,2
4548,13962,14490,8.25897921332325,24,931.799291759034,20.2727272727273,2
4551,14491,14577,5.7701149714023,13.80000019,1269.46447256737,27.3333333333333,2
4552,14578,15774,8.21169591384044,18,3816.89558201118,11.8684210526316,2
4553,15775,16008,6.6128205463547,16.10000038,514.059087319458,78.375,2
4568,16009,16227,7.27260275575342,14.39999962,905.789130207319,22.5833333333333,2
4569,16228,16529,7.08576159209603,18.29999924,1761.4928211625,16.08,2
4570,16530,16672,7.12097902567133,15.19999981,1654.64606753258,25.5714285714286,2
4680,16673,16679,5.01428566671429,6.599999905,,1.5,1
4774,16680,16806,30.2078740031811,46.29999924,3729.7823234543,18.25,3
4810,16807,16906,1.71300000081,3.700000048,124.545536103309,446,1
5008,16907,16923,2.34117647488235,3,,60,1
5086,16924,17205,13.68156024,44.59999847,767.001168166509,16.25,5
5091,17206,17212,1.77142858514286,2.700000048,2740.31830566257,787,7
5335,17213,17219,19.9714288207143,48.29999924,869.082689615459,10,7
5340,17220,17382,21.2515337297791,44.90000153,2717.52367075872,12.6666666666667,5
5346,17383,17448,42.8212119142576,69,1852.86492129454,0,7
5505,17449,17619,30.2549708450351,58.29999924,1680.04231413287,17.3333333333333,3
5560,17620,17863,36.6856558183115,57.40000153,5427.23471770674,12.8888888888889,3
5568,17864,17875,2.25,3.099999905,,47,1
5778,17876,18290,16.2072288962193,32.70000076,1218.47213615805,20.05,5
5779,18291,18431,39.0581560731986,58.5,3519.99289899726,7.75,7
5784,18432,18812,17.8797899867822,42.29999924,1710.07904153245,10.52,5
5789,18813,18865,21.1509434836226,36.70000076,,3.66666666666667,5
5796,18866,18894,19.8172413108966,35,435.777089640898,5.5,5
5802,18895,18926,11.7687500156563,29.10000038,901.536959652307,43.5,5
5811,18927,19252,21.0033742489387,43,5026.30961619755,10.5263157894737,5
6085,19253,19266,1.4785714235,2.099999905,8.71504197934073,167,1
6301,19267,19647,46.8758530060131,71.59999847,40555.9615123852,8.14285714285714,3
6524,19648,19659,1.86666666483333,2.299999952,,36,1
