@relation ForWekaTrain180-weka.filters.unsupervised.attribute.Remove-R2-3-weka.filters.unsupervised.attribute.NumericToNominal-R6-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.NominalToString-C1

@attribute caseid string
@attribute avgspeedmph numeric
@attribute maxspeedmph numeric
@attribute sddistancelocationsfeet numeric
@attribute dwelltimeseconds numeric
@attribute travmode {1,2,3,5,7}

@data
1327,35.696019,76.5,19969.272302,15.043478,3
1424,5.466667,12.4,227.709825,19,3
1665,58.534213,81,110869.888256,11.583333,3
1716,28.322727,58.5,2504.056182,11.75,5
1724,43.63745,70,7632.746411,27,7
1726,9.20625,28.700001,382.760528,47.714286,5
1727,35.103125,50.900002,?,3,7
1798,1.833333,2.7,?,17,1
1809,11.534091,30.6,1007.560148,9.6,3
2136,7.876886,14.7,13.071047,6.62963,2
2138,7.32097,15.2,111.227007,14.9,2
2186,2.8,3.9,?,29,1
2307,1.361538,1.8,?,54,1
2461,25.609626,45.200001,3266.990361,14.5,3
2490,41.972477,59.900002,5437.552765,8,7
2499,45.93375,58.799999,8257.040879,6,7
2635,38.911111,71.199997,4355.194748,13.333333,7
2644,12.251613,39.700001,552.816341,24.5,5
2648,17.743333,43.400002,2602.913024,8.714286,5
2706,7.943103,20.700001,?,9.571429,3
2785,2.26,3.2,?,107,1
2862,50.35375,70.300003,4471.370451,2,7
2867,50.31875,68.699997,7204.051757,5,7
2905,1.942424,3.5,?,126,1
3020,1.431818,2.4,108.670222,217,1
3192,22.727891,51.200001,4892.46021,8.666667,3
3294,2.782609,4,?,163,1
3295,24.711538,60.299999,3161.228592,50,7
3311,18.18,38.299999,2704.837171,3,7
3344,29.990837,60.700001,7691.678664,23.916667,3
3544,43.101173,68.800003,6632.828022,57.666667,7
3548,23.310307,56.5,9633.501739,16.242424,5
3584,31.309091,57.5,13635.90688,10.666667,7
3585,18.465753,33.700001,2321.627836,17,3
3640,24.12,53.099998,?,6,3
4191,21.201523,43.200001,4409.806899,19.4,5
4196,18.369004,34.299999,4337.625189,25.888889,5
4198,33.23,61.400002,16531.182153,27,7
4200,18.393128,46.200001,5161.752757,29.878049,5
4205,22.610549,55.799999,5867.464319,20.625,5
4207,33.159649,68.800003,33332.059765,15,7
4209,15.188482,41.599998,3516.125466,12.9375,5
4215,25.400775,64.300003,7645.30184,20.857143,5
4261,37.550603,58.299999,5239.976238,67.333333,7
4270,39.662025,58.200001,6600.249775,33,7
4301,2.394253,3.5,?,258,1
4303,32.87561,63.599998,14829.889521,27.363636,5
4309,28.845482,60.799999,6495.585218,39.733333,5
4312,33.573065,69.199997,14087.779531,11.384615,5
4381,19.855609,48.299999,2962.423798,26.954545,3
4528,5.808642,14.4,?,26.714286,2
4530,7.985055,16.4,3301.493243,11.111111,2
4536,8.982668,23.700001,7491.04185,23.08,2
4537,9.668847,22.9,6451.218021,16.176471,2
4538,7.499672,25.9,6430.333866,17.84,2
4539,5.872881,13.2,855.05289,15.4,2
4548,8.258979,24,931.799292,20.272727,2
4551,5.770115,13.8,1269.464473,27.333333,2
4552,8.211696,18,3816.895582,11.868421,2
4553,6.612821,16.1,514.059087,78.375,2
4568,7.272603,14.4,905.78913,22.583333,2
4569,7.085762,18.299999,1761.492821,16.08,2
4570,7.120979,15.2,1654.646068,25.571429,2
4680,5.014286,6.6,?,1.5,1
4774,30.207874,46.299999,3729.782323,18.25,3
4810,1.713,3.7,124.545536,446,1
5008,2.341176,3,?,60,1
5086,13.68156,44.599998,767.001168,16.25,5
5091,1.771429,2.7,2740.318306,787,7
5335,19.971429,48.299999,869.08269,10,7
5340,21.251534,44.900002,2717.523671,12.666667,5
5346,42.821212,69,1852.864921,0,7
