@relation 'arc_agg_validate-weka.filters.unsupervised.attribute.Remove-R1,5,15-16,21,33,49-51,53-54,113-114-weka.filters.unsupervised.attribute.Reorder-Rfirst-12,14-last,13-weka.filters.unsupervised.attribute.Remove-R96,100-weka.filters.unsupervised.attribute.NumericToNominal-R2,3,12,15,16,36-V-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-Clast-L1,2,3,16,17-H'

@attribute ptype {1,2,3,7}
@attribute arrhour numeric
@attribute age numeric
@attribute finalftworker {0,1}
@attribute finalptworker {0,1}
@attribute finalunivstud {0,1}
@attribute finalnonworker {0,1}
@attribute finalretiree {0,1}
@attribute finaldrivingagechild {0,1}
@attribute finalpredriving {0,1}
@attribute finalpreschool {0,1}
@attribute actdur numeric
@attribute iswalkorwheelchair {0,1}
@attribute nonauto {0,1}
@attribute tripdistance numeric
@attribute tottr numeric
@attribute pretransfervar {0,1}
@attribute nonmand {0,1}
@attribute transfervariablebothnonauto {0,1}
@attribute transfervariableatleastonenonauto {0,1}
@attribute someonedropped {0,1}
@attribute someonepicked {0,1}
@attribute partysizechange {0,1}
@attribute mixedparty {0,1}
@attribute actdurless60min {0,1}
@attribute actdurless10min {0,1}
@attribute tripdistgreater10mi {0,1}
@attribute actdurgreater10min {0,1}
@attribute actdurless30min {0,1}
@attribute worklocationmatch {0,1}
@attribute schoollocationmatch {0,1}
@attribute adultparty {0,1}
@attribute childparty {0,1}
@attribute dropoffvariable {0,1}
@attribute pickupvariable {0,1}
@attribute hhmem numeric
@attribute groupgroceryduration {0,1}
@attribute groupeatoutduration {0,1}
@attribute bikemode {0,1}
@attribute grouprecreationduration {0,1}
@attribute groupsocialvisitduration {0,1}
@attribute notworklocation {0,1}
@attribute schoolbusmode {0,1}
@attribute subtourdummy {0,1}
@attribute simplesubtour {0,1}
@attribute complexsubtour {0,1}
@attribute volunactdurless60min {0,1}
@attribute volunworklocationmatch {0,1}
@attribute adultactdurless100min {0,1}
@attribute schoolageactdurless150min {0,1}
@attribute preschoolactdurless300min {0,1}
@attribute ftworkeractdurless120min {0,1}
@attribute ptworkeractdurless120min {0,1}
@attribute univstudactdurless120min {0,1}
@attribute actdurgreater30min {0,1}
@attribute actdurgreater90min {0,1}
@attribute actdurgreater45min {0,1}
@attribute actdurgreater120min {0,1}
@attribute adultpartyactdur20to40min {0,1}
@attribute adultparty12pmto2pm {0,1}
@attribute actdur30to90min {0,1}
@attribute simplesubtour12pmto2pm {0,1}
@attribute complexsubtour12pmto2pm {0,1}
@attribute originisdestination {0,1}
@attribute actdurless120min {0,1}
@attribute actdurgreater150min {0,1}
@attribute starttime10amto1pm {0,1}
@attribute starttime11amto1pm {0,1}
@attribute starttime11amto3pm {0,1}
@attribute starttime1amto6pm {0,1}
@attribute starttime2pmto5pm {0,1}
@attribute starttime2pmto6pm {0,1}
@attribute starttime2pmto7pm {0,1}
@attribute starttime3pmto5pm {0,1}
@attribute starttime3pmto6pm {0,1}
@attribute starttime3pmto7pm {0,1}
@attribute starttime3pmto8pm {0,1}
@attribute starttime4pmto7pm {0,1}
@attribute starttime5pmto7pm {0,1}
@attribute starttime7amto12am {0,1}
@attribute starttime8amto11am {0,1}
@attribute starttime8amto12pm {0,1}
@attribute starttime8amto2pm {0,1}
@attribute starttime9amto11am {0,1}
@attribute starttime9amto3pm {0,1}
@attribute female {0,1}
@attribute young {0,1}
@attribute nondrivingchildren {0,1}
@attribute zerocars {0,1}
@attribute highincome {0,1}
@attribute lowincome {0,1}
@attribute k8enrollment {0,1}
@attribute highschoolenrollment {0,1}
@attribute nearchurch {0,1}
@attribute nearbigbox {0,1}
@attribute lu_commercial {0,1}
@attribute lu_institutional {0,1}
@attribute lu_parks {0,1}
@attribute tpurp {4,5,6,7,8,11,13,15,21,22,23,25}

@data
2,8,29,1,0,0,0,0,0,0,0,262,0,0,19.935228,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8
7,13,29,1,0,0,0,0,0,0,0,35,0,0,2.051429,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,21
2,13,29,1,0,0,0,0,0,0,0,221,0,0,2.051429,3,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,8
7,19,29,1,0,0,0,0,0,0,0,12,0,0,0.619296,2,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15
7,19,29,1,0,0,0,0,0,0,0,2,0,0,0.298442,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15
7,7,61,1,0,0,0,0,0,0,0,225,0,0,3.727052,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,13
1,11,61,1,0,0,0,0,0,0,0,338,1,1,0.045291,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,8
7,9,39,1,0,0,0,0,0,0,0,37,0,0,21.213909,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2,10,39,1,0,0,0,0,0,0,0,26,0,0,7.450351,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,8
7,10,39,1,0,0,0,0,0,0,0,8,0,0,0.255561,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7
